Rhythm: Abioueka | Corrected track patterns (Kenkeni, Sangban, Dun, Bells) to exactly 2 rows/24 steps (beats=2 in UI for 12/8). Restored 4 djembe accompaniment parts. Set swing=35 and customSwingOffsets=[10,10,10,10,10,10].
Rhythm: Sökö | Trimmed inflated track 'Sangban Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Sökö | Trimmed inflated track 'Kenkeni; Faranah-style' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Sökö | Trimmed inflated track 'Kenkeni; Faranah-style Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Sökö | Trimmed inflated track 'Dun Dun; Faranah-style' (Key: dundunba) from 48 to 24 steps (2 UI rows).
Rhythm: Sökö | Trimmed inflated track 'Dun Dun; Faranah-style Bell' (Key: dundunba_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Söli | Trimmed inflated track 'Kenkeni high (h) and low (l)' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Söli | Trimmed inflated track 'Kenkeni high (h) and low (l) Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Söli | Trimmed inflated track 'Sangban' (Key: sangban) from 48 to 24 steps (2 UI rows).
Rhythm: Söli | Trimmed inflated track 'Sangban Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Söli | Trimmed inflated track 'Dun Dun' (Key: dundunba) from 48 to 24 steps (2 UI rows).
Rhythm: Söli | Trimmed inflated track 'Dun Dun Bell' (Key: dundunba_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Söli des Manían | Trimmed inflated track 'Kenkeni' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Söli des Manían | Trimmed inflated track 'Kenkeni Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Söli des Manían | Trimmed inflated track 'Sangban' (Key: sangban) from 48 to 24 steps (2 UI rows).
Rhythm: Söli des Manían | Trimmed inflated track 'Sangban Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Söli des Manían | Trimmed inflated track 'Dun Dun' (Key: dundunba) from 48 to 24 steps (2 UI rows).
Rhythm: Söli des Manían | Trimmed inflated track 'Dun Dun Bell' (Key: dundunba_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Taama | Trimmed inflated track 'Kenkeni' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Taama | Trimmed inflated track 'Kenkeni Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Taama | Trimmed inflated track 'Sangban / Doun doun: first line:' (Key: sangban) from 48 to 24 steps (2 UI rows).
Rhythm: Taama | Trimmed inflated track 'Sangban / Doun doun: first line: Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Takonany | Trimmed inflated track 'Kenkeni' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Takonany | Trimmed inflated track 'Kenkeni Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Takonany | Trimmed inflated track 'Sangban' (Key: sangban) from 48 to 24 steps (2 UI rows).
Rhythm: Takonany | Trimmed inflated track 'Sangban Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Takonany | Trimmed inflated track 'Dun Dun' (Key: dundunba) from 48 to 24 steps (2 UI rows).
Rhythm: Takonany | Trimmed inflated track 'Dun Dun Bell' (Key: dundunba_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Takosaba | Trimmed inflated track 'Kenkeni' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Takosaba | Trimmed inflated track 'Kenkeni Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Takosaba | Trimmed inflated track 'Sangban 1st - 8th beat' (Key: sangban) from 48 to 24 steps (2 UI rows).
Rhythm: Takosaba | Trimmed inflated track 'Sangban 1st - 8th beat Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Tiriba | Trimmed inflated track 'Kenkeni' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Tiriba | Trimmed inflated track 'Kenkeni Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Tiriba | Trimmed inflated track 'Sangban' (Key: sangban) from 48 to 24 steps (2 UI rows).
Rhythm: Tiriba | Trimmed inflated track 'Sangban Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Tiriba | Trimmed inflated track 'Dun Dun' (Key: dundunba) from 48 to 24 steps (2 UI rows).
Rhythm: Tiriba | Trimmed inflated track 'Dun Dun Bell' (Key: dundunba_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Wolosodon / Djondon | Trimmed inflated track 'Sangban' (Key: sangban) from 48 to 24 steps (2 UI rows).
Rhythm: Wolosodon / Djondon | Trimmed inflated track 'Sangban Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Wolosodon / Djondon | Trimmed inflated track 'kenkeni / Sjekere / Doun doun A' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Wolosodon / Djondon | Trimmed inflated track 'kenkeni / Sjekere / Doun doun A Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Wonde | Trimmed inflated track 'Kenkeni' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Wonde | Trimmed inflated track 'Kenkeni Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Wonde | Trimmed inflated track 'Sangban / Doundoun (also possible to play by one person)' (Key: sangban) from 48 to 24 steps (2 UI rows).
Rhythm: Wonde | Trimmed inflated track 'Sangban / Doundoun (also possible to play by one person) Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Yankadi A (ternary) | Trimmed inflated track 'Kenkeni' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Yankadi A (ternary) | Trimmed inflated track 'Kenkeni Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Yankadi A (ternary) | Trimmed inflated track 'Sangban' (Key: sangban) from 48 to 24 steps (2 UI rows).
Rhythm: Yankadi A (ternary) | Trimmed inflated track 'Sangban Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Yankadi A (ternary) | Trimmed inflated track 'Dundun' (Key: dundunba) from 48 to 24 steps (2 UI rows).
Rhythm: Yankadi A (ternary) | Trimmed inflated track 'Dundun Bell' (Key: dundunba_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Yogui | Trimmed inflated track 'Kenkeni' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Yogui | Trimmed inflated track 'Kenkeni Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Yogui | Trimmed inflated track 'Sangban' (Key: sangban) from 48 to 24 steps (2 UI rows).
Rhythm: Yogui | Trimmed inflated track 'Sangban Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Yogui | Trimmed inflated track 'Dun Dun' (Key: dundunba) from 48 to 24 steps (2 UI rows).
Rhythm: Yogui | Trimmed inflated track 'Dun Dun Bell' (Key: dundunba_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Zeichenerklärung Legende | Trimmed inflated track 'Dun Dun-patterns' (Key: dundunba) from 48 to 24 steps (2 UI rows).
Rhythm: Zeichenerklärung Legende | Trimmed inflated track 'Dun Dun-patterns Bell' (Key: dundunba_bell) from 48 to 24 steps (2 UI rows).
